color_element	spell_incantation
black	"With the power of the void at my command, I draw forth the energy of the cosmos and channel it into the Void's Nova, a burst of pure destruction that obliterates all before me!"
black	"With the power of the void at my command, I reach out and seize the threads of fate; Let destiny bend to my will, and let the future be rewritten by the power of the Void's Destiny!"
black	"With the power of the void at my fingertips, I command the very fabric of space and time to bend to my will; Let the Black Star Eclipse blot out the sun and bring forth the end of days!"
black	"With the power of the void at my fingertips, I shall pierce the veil of reality and call forth the powers of the unknown; Let the secrets of the universe be mine to command, and let the mysteries of the cosmos be unraveled by my hand; Eye of the Abyssal Void!"
black	"With the power of the void, I bend space and time to my will; Let the fabric of reality warp and twist, and let my enemies tremble before the power of the Void's Distortion!"
black	"With the power of the void, I pluck the thoughts from my enemies' minds; Let their will be bent to my bidding, as I cast the Enthrallment of the Void Whisperer!"
black	"With the power of the void, I reach into the infinite abyss, wielding the raw energy of nothingness to erase all that stands in my path; Erasure Pulse of the Null Cataclysm!"
black	"With the power of thought and memory, let the past and future merge; Let the timelines unravel and the fates of all be rewritten, as I become the master of the timestream; Timeless Paradox Phenomenon!"
black	"With the power of thought and word, let the darkness of the void coalesce; Let the ancient spirits heed my call, and their wisdom guide my hand; The Nightshade Seer's Vision!"
black	"With the power of thought and word, let the darkness of the void take form; Let the echoes of the abyss consume my enemies, and their minds be shattered by the infinite abyss; Abyssal Symphony!"
black	"With the power of thought, let the boundaries of space and time dissolve; Let the realm of dreams merge with reality, and the illusions of my mind become the truth of the world; Master of the Dreaming Void!"
black	"With the power to control and manipulate the essence of existence, I summon the primeval force of creation; Let it shape and mold reality to my will; Cosmic Genesis of the Omnipotent Creator!"
black	"With the power to manipulate and distort perception, I summon the illusions that hide reality; Let them deceive my enemies and lead them to their doom; Illusory Labyrinth of the Mind's Eye!"
black	"With the power to manipulate the very laws of nature, let the balance of the universe be disrupted; As the elements themselves turn against my enemies, so shall they be at the mercy of my elemental fury; Elemental Anarchy of the Arcane Wielder!"
black	"With the power to shape and twist the very fabric of space and time, I summon the inexorable force of the space-time singularity; Let it warp reality and consume my enemies; Singularity Collapse of the Cosmic Matrix!"
black	"With the power to transcend the limits of the mortal realm, let the very concept of life and death be at my mercy; As the souls of the departed and the living are united under my command, so shall my enemies be bound by the inevitability of their own mortality; Necrotic Domain of the Deathbringer!"
black	"With the power to warp the fabric of reality itself, let the boundaries of existence be shattered; As the walls of the universe crumble and the true nature of reality is revealed, so shall my enemies be engulfed by the boundless chaos beyond; Metaphysical Cataclysm of the Void Walker!"
black	"Within the realm of the mind, I hold dominion over all that is perceived; Let the illusions I conjure become reality, twisting perception and deceiving even the keenest senses; Eclipse of the Mind's Eye!"
blue	"Ancient glaciers, timeless and eternal, lend me the biting chill of your frostbitten breath; Encase my enemies in the icy tomb of your unyielding grasp and let them shiver in the Frozen Prison of the Arctic Warden!"
blue	"Aqua Serpent's Coiling Strangle; Evoke the sinuous guardian of the sacred waters, entangling my foes within its crushing embrace, leaving them gasping for air as they succumb to the watery depths!"
blue	"As the rain falls and the rivers run, converge upon my command and form a torrent of watery might; Drown my enemies in the relentless flood and leave them gasping for breath; I call forth the River's Stranglehold of the Engulfing Deluge!"
blue	"As the storm clouds gather, I call upon the heavens to unleash their divine power upon my enemies; Rain down the wrath of the tempest and let lightning strike the unworthy; Thunderous Requiem of the Celestial Storm!"
blue	"As the torrential rains descend, I invoke the tempest's unyielding might; Flood the battlefield with the merciless waves of the raging sea and let my enemies be swept away by the relentless deluge; Maelstrom of the Torrential Downpour!"
blue	"By the ancient wisdom of the lost city of Atlantis, let the enigmatic waters reveal their secrets to me; With the timeless knowledge of the sunken realm, let my enemies be confounded and their strategies undone; As the mysteries surface and the riddles unravel, so shall my command over the arcane depths be unrivaled; Revelation of the Atlantean Archives!"
blue	"By the boundless energy of the river's current, let the invigorating waters rise and the swift rapids carry my allies to triumph; As the waters rush and the spray leaps, so shall my command of momentum be undeterred; Empowerment of the River's Momentum!"
blue	"By the boundless expanse of the seven seas, let the ocean's might be unleashed and the tides turn in my favor; As the waves crash and the salt air fills my lungs, so shall my enemies be overpowered; Tempest of the Eternal Seas!"
blue	"By the breath of the arctic winds, let the frozen shards of ice pierce the hearts of my foes; Unleash the chilling embrace of the eternal frost and witness the Piercing Blizzard of the Frostforged Scion!"
blue	"By the brilliance of the coral reefs and the beauty of the ocean's bounty, grant me the power of the vibrant sea; Let the wondrous hues of the deep empower my spells and enhance their might; I invoke the Chromatic Radiance of the Coral Enchantment!"
blue	"By the celestial cascade that flows through the rivers of time, let the cosmic deluge envelop my adversaries; With the astral might of a million moons, let their defenses be washed away and their souls be soaked in the celestial torrent; As the tides ebb and the heavens weep, so shall my command over water be undeniable; Celestial Flood of the Lunar Confluence!"
blue	"By the chaotic dance of the ocean's tempest, let the turbulent waters rise and the raging storm unleash its fury upon my foes; As the winds howl and the waves crash, so shall my dominion over the storm be uncontrollable; Maelstrom of the Tempest's Wrath!"
blue	"By the chilling embrace of the frostbite's grasp, let the freezing waters rise and the icy tendrils numb the resolve of my enemies; As the frost spreads and the cold bites, so shall my dominion over the winter be unyielding; Grasp of the Frostbite's Lament!"
blue	"By the command of the tidal forces, rise and fall in perfect harmony; Bend to my will, and let the moon's pull wash away all resistance; Ebb and Flow of the Celestial Tides!"
blue	"By the commanding presence of the ocean's sovereign, let the majestic waters rise and the regal waves compel obedience from all who defy me; As the tide swells and the sea obeys, so shall my dominion over the aquatic realm be absolute; Dominion of the Ocean's Monarch!"
blue	"By the commanding voice of the sea, I summon the ocean's serpents; Coil your scaly embrace around my enemies, dragging them into the watery abyss; Vortex of the Abyssal Serpent!"
blue	"By the crashing waves and the howling gales, combine the fury of water and wind; Unleash the devastating power of the storm and let my enemies be swept away in the tempest's wrath; I invoke the Cataclysm of the Hurricane's Fury!"
blue	"By the currents of the world's oceans, let the mighty leviathans answer my call; Summon forth the ancient beasts of the deep, and let their wrath bring ruin upon my enemies; Torrential Wrath of the Oceanic Behemoth!"
blue	"By the deceptive illusion of the mirage's veil, let the beguiling waters rise and the shimmering visions deceive my enemies into disarray; As the images waver and the reality distorts, so shall my command of the deceptive waters be undetectable; Deception of the Mirage's Veil!"
blue	"By the deceptive illusion of the mirrored lake, let the beguiling waters bend light and reality to my will; With the enchanting artistry of a thousand reflections, let my enemies be ensnared and their senses deceived; As the ripples distort and the images bewilder, so shall my power to bewitch be unparalleled; Mirage of the Mesmerizing Lagoon!"
blue	"By the depths of the abyss, I call forth the wrath of the primordial sea; Let the torrential waves crash and the riptides churn, as I unleash the Maelstrom of the Oceanic Vortex!"
blue	"By the disorienting maze of the coral labyrinth, let the baffling waters rise and the vibrant reefs ensnare my enemies in a bewildering web; As the colors dance and the passages twist, so shall my command of confusion be perplexing; Bewilderment of the Coral Labyrinth!"
blue	"By the ebb and flow of the ever-shifting tides, grant me control over the waters that bind us all; Let my command of the aquatic realm be absolute and unyielding; I invoke the Sovereign Dominion of the Ocean's Embrace!"
blue	"By the echoing lament of the sorrowful rain, let the mournful waters rise and the teardrops of the skies pierce the hearts of my enemies; As the rain falls and the sorrows swell, so shall my command of the melancholic downpour be inconsolable; Lamentation of the Sorrowful Rain!"
blue	"By the echoing voice of the water's whispers, let the secrets of the depths be revealed and the unknown be made known; With the insightful murmurs of a thousand flowing rivers, let knowledge be gained and wisdom be shared; As the waters ripple and the whispers resonate, so shall my command over the communicative waters be enlightening; Revelation of the Whispering Ripples!"
blue	"By the endless cycle of water, let the clouds gather and the rain pour down to wash away all who oppose me; As the storm brews and the skies darken, so shall my command of the heavens be unassailable; Downpour of the Stormbringer's Fury!"
blue	"By the eternal wisdom of the ancient seers, let the prophetic waters rise and the cryptic ripples reveal the secrets of time; As the sands shift and the tides turn, so shall my dominion over fate be unbreakable; Revelation of the Timeless Eddies!"
blue	"By the ethereal embrace of the mist-shrouded lagoon, let the veiling waters rise and the foggy tendrils enshroud my enemies in confusion; As the mist swirls and the shadows obscure, so shall my mastery of the hidden realm be undetectable; Enshroudment of the Misty Lagoon!"
blue	"By the fathomless depths of the abyssal trench, let the crushing pressure of the ocean's heart shatter my enemies; With the overpowering weight of a thousand leagues, let their defenses crumble and their spirits implode; As the waters deepen and the darkness grows, so shall my command over the crushing depths be fearsome; Annihilation of the Crushing Abyss!"
blue	"By the fathomless depths of the ocean, let the primal water surge through my essence, granting me the strength to vanquish all who dare oppose me; With the chilling embrace of glacial wrath, let their fate be sealed in the icy clutches of retribution; As the whirlpool swirls and the currents rage, so shall my vengeance be known; Torrent of the Abyssal Vortex!"
blue	"By the frozen tundra of the far north, let the icy waters rise and the chilling frostbite grasp my enemies; As the snowflakes fall and the icicles form, so shall my foes be encased in ice; Rime of the Glacial Ensnarement!"
blue	"By the fury of the monsoon, let the tempestuous waters rise and the torrential downpour flood my opponents' defenses; As the winds howl and the waters churn, so shall my mastery of the storm be indomitable; Maelstrom of the Typhoon's Rage!"
blue	"By the gentle touch of the morning dew, let the refreshing waters rise and the tranquil mist restore vitality to my allies; As the droplets glisten and the world awakens, so shall my control over the life-giving waters be infinite; Revitalization of the Dawn's Embrace!"
blue	"By the graceful dance of the rain, let the heavens open and the waters descend to smite those who stand against me; As the droplets fall and the rivers swell, so shall my command over the skies be clear; Cascade of the Celestial Rainfall!"
blue	"By the harmonious confluence of rivers and streams, let the united power of water converge to obliterate my foes; With the converging force of a thousand tributaries, let their defenses be washed away and their resistance overwhelmed; As the waters merge and the deluge swells, so shall my command over the unified waters be unstoppable; Cataclysm of the Converging Torrents!"
blue	"By the harmonious flow of the Yin and Yang, let the balance of water and energy restore and rejuvenate those in need; As the chi courses and the tides harmonize, so shall my command of the healing waters be unmatched; Restoration of the Celestial Balance!"
blue	"By the hidden depths of the ocean's twilight zone, unveil the unseen; Reveal the mysterious creatures that dwell in the eternal darkness, and let their otherworldly powers confound and overwhelm my enemies; Revelations of the Shadowed Deep!"
blue	"By the icy chill of the arctic winds, sap the energy and stamina of my foes; Let them be drained and exhausted, their movements sluggish and uncoordinated; Frostbite of the Arctic Lethargy!"
blue	"By the impenetrable sanctuary of the coral fortress, let the protective waters shield and defend my allies; With the resilient strength of a thousand vibrant reefs, let their defenses be fortified and their spirits bolstered; As the waters nurture and the corals flourish, so shall my command over the safeguarding waters be unbreakable; Bastion of the Resplendent Barrier!"
blue	"By the inexhaustible power of the water's core, let the energizing waters fuel my strength and amplify my abilities; With the boundless surge of a thousand revitalizing springs, let my potential be unlocked and my prowess be enhanced; As the waters brim with energy, so shall my command over the empowering waters be invigorating; Empowerment of the Energizing Spring!"
blue	"By the intoxicating allure of the ocean's depths, let the hypnotic waters entrance and ensnare the minds of my foes; With the mesmerizing allure of a thousand fathomless pools, let their wills be subverted and their thoughts controlled; As the waters entrance and the minds merge, so shall my command over the bewitching waters be irresistible; Domination of the Enchanting Deep!"
blue	"By the invincible might of the glacial fortress, let the impregnable waters rise and the frigid ice form an unyielding barrier; As the frost crackles and the snows fall, so shall my power to protect be impenetrable; Bastion of the Frostbound Citadel!"
blue	"By the life-giving essence of the primeval springs, let the nourishing waters invigorate and empower my allies; With the rejuvenating elixir of a thousand ancient wellsprings, let their vitality be restored and their prowess magnified; As the waters surge with life, so shall my command over the vitalizing waters be life-affirming; Infusion of the Fountain of Vigor!"
blue	"By the melody of the sirens' song, enchant the hearts and minds of those who would oppose me; Lure them into the watery depths and let the embrace of the sea claim them; I call forth the Entrancing Lament of the Siren's Serenade!"
blue	"By the mirror-like calm of the placid lake, let the tranquil waters pacify and disarm my foes; With the soothing serenity of a thousand glassy surfaces, let their aggression be stilled and their spirits calmed; As the waters lie still and the reflections multiply, so shall my command over the pacifying waters be indisputable; Serenity of the Tranquil Lagoon!"
blue	"By the moonlit reflection on still waters, let the silvery ripples rise and the mirrored surface bewitch those who defy me; As the light shimmers and the shadows dance, so shall my enemies be ensnared; Illusion of the Moonlit Mirage!"
blue	"By the murmurs of the deep, let the tidal forces bind and ensnare all who dare to oppose me; Unleash the aquatic prowess of the Kraken's Grasp and let the watery depths consume!"
blue	"By the murmurs of the ocean floor, awaken the guardians of the deep; Summon forth the colossal behemoths that dwell in the darkest depths, and let their presence shake my foes to their core; Tremors of the Leviathan's Awakening!"
blue	"By the overwhelming might of the crashing waterfall, let the thundering waters rise and the deafening roar of the cascade drown out my enemies' cries; As the water plunges and the spray soars, so shall my dominion over the torrent be unstoppable; Deluge of the Thundering Cascade!"
blue	"By the perpetual flow of the eternal river, let the relentless waters erode and weaken my foes; With the inexhaustible force of a thousand coursing torrents, let their defenses be ground down and their spirits washed away; As the waters persist and the currents carve, so shall my command over the ceaseless waters be tireless; Attrition of the Everflowing Torrent!"
blue	"By the playful dance of the rain, let the nourishing waters rise and the soothing showers mend wounds and weariness; As the raindrops patter and the world renews, so shall my command of the healing rains be supreme; Mending of the Raindrop Rejuvenation!"
blue	"By the power of the ancient leviathans, rise from the abyss; Engulf my enemies in the crushing embrace of the ocean's most fearsome guardians; Wrath of the Primordial Depths!"
blue	"By the power of the frozen north, let the icy winds chill the marrow of my enemies' bones; With my command, let the snowstorms and blizzards consume them; Frostbite Gale!"
blue	"By the power of the icy blizzard, grant me your chilling embrace; Let the snow and ice entomb the hearts of my enemies, as they succumb to the merciless frost; Crystal Tempest of the Frozen Wasteland!"
blue	"By the power of the sea, let the waves become my whip and the currents my shield; With my command, let my enemies be engulfed by the fury of the ocean's wrath; Tidal Tempest Assault!"
blue	"By the power of the sea's deepest trenches, I command the crushing pressure of the abyss to bear down upon my foes, leaving them helpless and broken; Crushing Descent of the Ocean's Depths!"
blue	"By the purifying essence of the sacred spring, let the cleansing waters wash away the corruption that taints my allies; With the sanctifying power of a thousand healing torrents, let their spirits be renewed and their strength restored; As the waters cascade and the purity intensifies, so shall my command over the divine waters be miraculous; Benediction of the Holy Deluge!"
blue	"By the radiant beauty of the siren's song, let the entrancing melody of the watery depths allure and ensnare my enemies; With the seductive harmonies of a thousand ethereal voices, let their hearts be captivated and their wills be charmed; As the music weaves and the enchantment deepens, so shall my power to beguile be irresistible; Enchantment of the Celestial Serenade!"
blue	"By the relentless assault of the cascading rapids, let the raging waters rise and the furious torrents batter my enemies with nature's fury; As the river rages and the currents crash, so shall my mastery of the water's wrath be unstoppable; Assault of the Cascading Rapids!"
blue	"By the relentless cascade of the waterfall's descent, let the crushing waters pummel and pulverize my foes; With the unyielding force of a thousand plummeting torrents, let their defenses be shattered and their spirits be ground to dust; As the waters fall and the impact reverberates, so shall my command over the plummeting waters be devastating; Impact of the Thundering Cataract!"
blue	"By the relentless march of the tide, let the ebb and flow of the ocean dictate the fate of those who defy me; As the sands shift and the waters advance, so shall my command of the sea be unbreakable; Dominion of the Tidal Sovereign!"
blue	"By the relentless onslaught of the tsunami's wrath, let the cataclysmic waters rise and the apocalyptic waves devastate all in their path; As the earth quakes and the seas surge, so shall my command of destruction be unstoppable; Cataclysm of the Tsunami's Vengeance!"
blue	"By the relentless pursuit of the ever-flowing stream, let the undeterred waters rise and the tireless rivers wear down the defenses of my adversaries; As the water meanders and the stones erode, so shall my command of persistence be unceasing; Erosion of the Relentless Stream!"
blue	"By the relentless pursuit of the ocean's fury, let the relentless waves batter and besiege my enemies; With the unstoppable force of a thousand crashing tides, let their defenses be worn down and their spirits erode; As the waters surge and the onslaught continues, so shall my power to dominate be inexhaustible; Barrage of the Ceaseless Tsunami!"
blue	"By the restless spirits of the drowned, let the haunted waters rise and the phantom currents torment my adversaries; As the fog rolls in and the whispers echo, so shall my enemies be unnerved; Requiem of the Spectral Tides!"
blue	"By the restless tides that sway under the moon's command, let my enemies be caught in the surge of a merciless deluge; As the water rises and the storm rages, so shall my foes be swept away; Deluge of the Lunar Tsunami!"
blue	"By the sapphire tides and swirling maelstroms, I command the boundless oceans to rise; Unleash the furious currents and deliver the crushing embrace of the watery abyss; Behold, the Surging Deluge of the Oceanic Vortex!"
blue	"By the serene reflection of the moon upon the water's surface, grant me the power of the tranquil sea; Calm the tempest within and let my mind be as still as the glassy ocean depths; I call forth the Serenity of the Moonlit Lagoon!"
blue	"By the shimmering beauty of the moonlit lake, let the mesmerizing waters rise and the enchanting reflections beguile my enemies; As the moonbeams dance and the surface ripples, so shall my foes be entranced; Enchantment of the Moonlit Mirage!"
blue	"By the shimmering moonlit waves and the whispers of the gentle sea breeze, grant me the grace of the ocean's dance; Let the fluid motion of the water guide my movements and enhance my agility; I invoke the Fluid Elegance of the Moonlit Tide!"
blue	"By the shimmering scales of the elusive serpent, grant my allies the gift of adaptability; Let them flow like water and change with the ever-shifting tides of battle; Boon of the Serpent's Fluidity!"
blue	"By the silent depths of the ocean's abyss, let the tranquil waters absorb and nullify the sound of my approach; With the quietude of a thousand sunken realms, let my movements be masked and my presence undetected; As the waters muffle and the silence deepens, so shall my command over the stealthy waters be untraceable; Veil of the Silent Deep!"
blue	"By the sinister tendrils of the abyssal depths, let the haunting waters rise and the dark tentacles ensnare my enemies in the shadows of the deep; As the darkness creeps and the fear grows, so shall my mastery of the abyssal terror be unyielding; Tendrils of the Abyssal Depths!"
blue	"By the soothing embrace of the healing rain, let the gentle waters rise and the calming droplets mend the wounds of my allies; As the rain descends and the pain subsides, so shall my mastery of restoration be undying; Embrace of the Healing Rain!"
blue	"By the soothing springs that flow beneath the earth, let the healing waters embrace my allies; With the calming touch of life-giving streams, let their wounds be mended and their strength renewed; As the waters surge and the rejuvenation unfolds, so shall my power to restore be infinite; Wellspring of the Nurturing Cascade!"
blue	"By the swirling maelstrom of the tempest, let the raging whirlpool consume all who dare defy me; With the merciless force of nature's wrath, let their fate be sealed in the watery vortex; As the currents spiral and the chaos intensifies, so shall my command over water be undeniable; Vortex of the Cyclonic Torrent!"
blue	"By the swirling mists of the eternal frost, I invoke the tempestuous power of the storm, raining ice upon my adversaries; Hailstorm of the Frigid Squall!"
blue	"By the swirling tempest of the whirlpool's embrace, let the vortex waters rise and the spiraling torrents drag my enemies into the abyss; As the currents pull and the depths consume, so shall my mastery of the watery maelstrom be unrelenting; Embrace of the Abyssal Whirlpool!"
blue	"By the swirling vortices of the whirlpool's heart, let the torrential waters spiral and engulf my foes; With the unstoppable pull of a thousand maddening vortexes, let their defenses be torn asunder and their spirits be lost to the depths; As the waters spin and the whirlpool expands, so shall my command over the spiraling waters be unrelenting; Engulfment of the Voracious Maw!"
blue	"By the tranquil lullaby of the gentle rain, let the soothing waters calm the storm within my allies; With the tender embrace of a thousand droplets, let their hearts be mended and their spirits lifted; As the rain descends and the serenity envelops, so shall my power to console be boundless; Tranquility of the Harmonious Drizzle!"
blue	"By the tranquil whispers of the morning dew, let the gentle waters rise and the healing mists envelop my foes; As the fog rolls in and the waters soothe, so shall my adversaries be disarmed; Veil of the Enshrouding Mist!"
blue	"By the transcendent calm of the celestial rivers, let the soothing waters bring peace and unity to all; With the harmonizing flow of a thousand heavenly streams, let the discord be quelled and the unity be forged anew; As the waters meander and the celestial current flows, so shall my command over the unifying waters be conciliatory; Harmony of the Celestial Confluence!"
blue	"By the transformative power of the water's essence, let the shape-shifting waters adapt and overcome any obstacle; With the mutable fluidity of a thousand flowing streams, let my abilities evolve and my strategies be ever-changing; As the waters morph and the possibilities expand, so shall my command over the versatile waters be boundless; Adaptation of the Protean Deluge!"
blue	"By the unbreakable bond of the raindrop's unity, let the harmonious waters rise and the gentle showers weave together the hearts of my allies; As the droplets merge and the clouds embrace, so shall my power to unite be everlasting; Harmony of the Raindrop's Symphony!"
blue	"By the unfathomable depths of the ocean, grant me the power to deepen the bonds and trust among my allies, while sowing discord and doubt among my enemies; Let them be united as a single entity or torn apart by the tides; Duality of the Ocean's Unity!"
blue	"By the unfathomable power of the ocean's heart, let the torrential waters rise and the primordial depths unleash their untold might upon my foes; As the deep stirs and the waves surge, so shall my command over the ancient waters be unconquerable; Awakening of the Ocean's Heart!"
blue	"By the unforgiving wrath of the vengeful typhoon, let the cataclysmic waters rise and the storm's fury rain destruction upon those who stand against me; As the winds rage and the torrents pour, so shall my command of devastation be merciless; Cataclysm of the Vengeful Typhoon!"
blue	"By the unstoppable force of the tidal wave's surge, let the overwhelming waters rise and the colossal waves break the defenses of my adversaries; As the foam churns and the waters roar, so shall my command of conquest be invincible; Onslaught of the Tidal Wave's Dominion!"
blue	"By the untamed force of the river's rapids, let the turbulent waters break free and unleash their ferocity upon my foes; With the unrelenting power of nature's torrent, let their defenses be swept away and their hope dashed; As the waters surge and the currents rage, so shall my command over the raging flood be indomitable; Unleashing of the Wild Rapids!"
blue	"By the unwavering tenacity of the glacier's advance, let the creeping waters rise and the icy march grind my enemies beneath its inexorable progress; As the ice creaks and the weight bears down, so shall my command of the glacial onslaught be relentless; Advance of the Unwavering Glacier!"
blue	"By the unyielding force of the tidal wave, let the formidable waters rise and the towering surge wash away all who dare to challenge me; As the waves crash and the coastline trembles, so shall my command of the unstoppable flood be indomitable; Onslaught of the Unyielding Tsunami!"
blue	"By the unyielding grasp of the ocean's embrace, let the entangling tendrils of water bind and immobilize my enemies; With the suffocating grip of a thousand crushing currents, let their movements be restricted and their hope drowned; As the waters coil and the pressure tightens, so shall my power to ensnare be unbreakable; Captivation of the Serpentine Whirlpool!"
blue	"By the unyielding strength of the iceberg's resolve, let the indomitable waters rise and the frigid masses crush those who dare to oppose me; As the ice groans and the water freezes, so shall my command of perseverance be unbreakable; Crush of the Iceberg's Tenacity!"
blue	"By the unyielding strength of the mighty glaciers, let the frozen waters rise and the ancient ice entomb those who stand against me; As the icebergs loom and the frost takes hold, so shall my command of the frozen seas be unyielding; Fortress of the Glacial Bastion!"
blue	"By the vibrant vitality of the rejuvenating waterfall, let the invigorating waters rise and the cascading torrents breathe new life into my allies; As the water flows and the energy surges, so shall my mastery of revitalization be unceasing; Rejuvenation of the Vibrant Waterfall!"
blue	"By the will of the aquatic beasts that dwell beneath the waves, I command the serpents of the deep to rise and ensnare my foes in their crushing embrace; Constricting Coils of the Abyssal Serpent!"
blue	"Celestial raindrops, descend from the heavens and envelop me in your crystal embrace; Let the purifying waters cleanse my spirit and wash away the stains of battle; I summon the Healing Torrent of the Celestial Cascade!"
blue	"Cold and sharp, like a winter's gale; Let the icicles fall and the snowflakes dance, as my enemies freeze before me; Arctic Blade!"
blue	"Confluence of the sacred springs, heed my call; Empower my allies with the life-giving essence of the eternal waters; Elixir of the Rejuvenating Fount!"
blue	"Cry of the glacial winds, heed my command; Unleash the numbing breath of the frozen north, and let the biting chill seep into the very bones of my foes; Frostbite of the Arctic Gale!"
blue	"Dwellers of the abyssal depths, hear my call; With crushing pressure and darkness unfathomable, envelop my enemies in the inescapable embrace of the deep; Descent into the Lightless Chasm!"
blue	"Enigmatic creature of the primordial seas, with serpentine coils and the fearsome visage of a dragon, heed my command; Emerge from your watery lair, your scaly hide an impenetrable armor against the weapons of our enemies; Naga, rise and let your wrath be known!"
blue	"Essence of the tranquil rain, bring forth your gentle wrath; Release a soothing storm that belies a hidden fury, subduing my foes in the deceptive veil of serenity; Maelstrom of the Calming Downpour!"
blue	"Eternal flow of the world's rivers, converge at my behest; Channel the relentless force of nature's veins and let the currents carry my adversaries away; Confluence of the Unyielding Currents!"
blue	"From the abysmal depths of the fathomless sea, I summon the ancient guardians of the briny deep; As the waves crash and the ice encroaches, my enemies shall be ensnared within the frosty embrace of the eternal chill; Glacial Crescendo of the Leviathan's Lament!"
blue	"From the abysmal depths of the fathomless sea, I summon the ancient guardians of the briny deep; As the waves crash and the ice encroaches, my enemies shall be ensnared within the frosty embrace of the eternal chill; Witness the Glacial Crescendo of the Leviathan's Lament!"
blue	"From the abyssal depths of the Leviathan's lair, let the crushing waves rise and the monstrous power of the sea overwhelm my foes; As the serpents coil and the waters swirl, so shall my command of chaos be unyielding; Deluge of the Abyssal Maw!"
blue	"From the abyssal depths of the ocean's heart, grant me the crushing embrace of the deep; With the wrath of the ancient leviathans, let the torrential floods sweep away all who oppose me; Tidal Surge of the Kraken's Fury!"
blue	"From the ancient glaciers of the frozen world, I summon the unyielding ice to encase my enemies, binding them in a prison of eternal frost; Cryogenic Tomb of the Arctic Bastille!"
blue	"From the depths of the abyss, I summon the might of the raging seas, unleashing a torrent that engulfs all in its path; Tidal Barrage of the Oceanic Deluge!"
blue	"From the depths of the fathomless abyss, I call forth the crushing might of the ocean's fury; Unleash the tidal onslaught of relentless waves, as I command the wrath of the Raging Torrent!"
blue	"From the depths of the mysterious fountains, let the enchanted waters flow and the arcane currents wash over my adversaries; As the runes shimmer and the pools ripple, so shall my enemies be spellbound; Enchantment of the Arcane Spring!"
blue	"From the depths of the ocean's abyss, grant me the crushing might of the Leviathan's Grasp; With the force of the tides, I command the Whirlpool of the Abyssal Torrent!"
blue	"From the depths of the ocean's abyss, I summon the might of the Leviathan; Let your colossal form rise from the briny depths, and unleash your watery wrath upon my enemies; Tsunami Crash!"
blue	"From the depths of the ocean's abyss, let the serpentine embrace of the leviathan coil around my enemies; Release the aquatic fury of the deep and let the Crushing Depths of the Sea Serpent's Coil consume!"
blue	"From the depths of the ocean's heart, gather the swirling vortex of the sea's wrath; Let the whirlpool's unstoppable pull drag my enemies down into the watery abyss; I summon the Maelstrom's Descent of the Ocean's Fury!"
blue	"From the depths of the ocean's heart, I call forth the essence of the coldest, darkest waters; Imbue my spells with the freezing chill of the abyss, and let my enemies be consumed by the inescapable cold; I summon the Frostbite of the Lightless Depths!"
blue	"From the depths of the sea to the highest heavens, let the storms gather; May lightning strike at my command, and thunder herald my power; Storm's Fury!"
blue	"From the depths of the sea's darkest trenches, I summon the ancient kraken; Let your many arms ensnare my foes, and your monstrous beak rend them asunder; Kraken's Embrace!"
blue	"From the depths of the world's heart, let the hidden waters rise and the earth's secrets gush forth to overwhelm my adversaries; As the springs bubble and the geysers erupt, so shall my dominion over the deep be absolute; Eruption of the Earthen Geyser!"
blue	"From the frozen glaciers of the farthest reaches of the world, I summon the power of the ice; Let your frigid grip freeze my enemies and shatter them into pieces; Frozen Requiem!"
blue	"From the frozen wastes of the arctic realm, I call forth the chilling embrace of the icebound winds; Unleash the crystalline storm of frost and snow, as I command the Frostbite's Howling Gale!"
blue	"From the heart of the ancient whirlpool, let the swirling waters rise and the vortex draw in my foes; As the waters spin and the depths call, so shall my enemies be ensnared; Embrace of the Maelstrom's Grasp!"
blue	"From the hidden depths where ancient leviathans dwell, let the primordial waters answer my call and crash upon my foes; As the sea roars and the monsters stir, so shall my enemies be vanquished; Leviathan's Wrath of the Deep!"
blue	"From the hidden world beneath the waves, let the coral reefs awaken and the vibrant waters ensnare my adversaries; As the colors dazzle and the fish dart, so shall my enemies be entranced; Labyrinth of the Coral Enchantment!"
blue	"From the icy wastelands of the North, I call forth the blizzard's fury; Let your winds howl and your snows bury my enemies; Winter's Embrace!"
blue	"From the mysterious depths of the ocean's abyss, let the crushing pressure rise and the fathomless darkness consume my adversaries; As the anglerfish glow and the krakens stir, so shall my enemies be devoured; Oblivion of the Lightless Deep!"
blue	"From the swirling mists of the stormy sea, I summon the power of the hurricane; Let your winds gather and your vortex of destruction engulf my enemies; Hurricane's Eye!"
blue	"From the tranquil heart of the lotus pond, let the calming waters rise and the gentle waves disarm my adversaries; As the blossoms bloom and the frogs sing, so shall my enemies be pacified; Serenity of the Lotus Lullaby!"
blue	"From the uncharted depths, I beckon the leviathans of the deep, binding their power to my command; Abyssal Surge of the Kraken's Dominion!"
blue	"Frozen heart of the arctic tundra, lend me your unyielding chill; Envelop my enemies in the icy grip of eternal winter, as I wield the frigid breath of the glacial expanse; I call forth the Frostbound Torrent of the Permafrost!"
blue	"Geyser of the Eternal Spring; Pierce the earth's crust and release the pressurized fury of the hidden waters below, blasting my adversaries skyward with the explosive force of nature's wrath!"
blue	"Heralds of the gentle dew, answer my summons; With the soothing touch of morning's embrace, bring solace and healing to my weary companions; Benediction of the Restorative Droplets!"
